repo_name,full_name,owner,stars,forks,language,open_issues,created_at,updated_at,html_url
build-your-own-x,codecrafters-io/build-your-own-x,codecrafters-io,499465,47353,Markdown,478,2018-05-09T12:03:18Z,2026-05-06T17:58:36Z,https://github.com/codecrafters-io/build-your-own-x
awesome,sindresorhus/awesome,sindresorhus,463279,34781,,69,2014-07-11T13:42:37Z,2026-05-06T18:00:38Z,https://github.com/sindresorhus/awesome
freeCodeCamp,freeCodeCamp/freeCodeCamp,freeCodeCamp,444258,44478,TypeScript,185,2014-12-24T17:49:19Z,2026-05-06T17:56:01Z,https://github.com/freeCodeCamp/freeCodeCamp
public-apis,public-apis/public-apis,public-apis,432662,47311,Python,1331,2016-03-20T23:49:42Z,2026-05-06T17:58:57Z,https://github.com/public-apis/public-apis
free-programming-books,EbookFoundation/free-programming-books,EbookFoundation,387806,66238,Python,79,2013-10-11T06:50:37Z,2026-05-06T17:32:17Z,https://github.com/EbookFoundation/free-programming-books
openclaw,openclaw/openclaw,openclaw,369006,76094,TypeScript,7295,2025-11-24T10:16:47Z,2026-05-06T17:56:12Z,https://github.com/openclaw/openclaw
developer-roadmap,nilbuild/developer-roadmap,nilbuild,354311,44039,TypeScript,3,2017-03-15T13:45:52Z,2026-05-06T17:56:04Z,https://github.com/nilbuild/developer-roadmap
system-design-primer,donnemartin/system-design-primer,donnemartin,347216,56032,Python,536,2017-02-26T16:15:28Z,2026-05-06T17:32:24Z,https://github.com/donnemartin/system-design-primer
coding-interview-university,jwasham/coding-interview-university,jwasham,346213,82810,,107,2016-06-06T02:34:12Z,2026-05-06T17:51:28Z,https://github.com/jwasham/coding-interview-university
awesome-python,vinta/awesome-python,vinta,296219,27829,Python,19,2014-06-27T21:00:06Z,2026-05-06T17:42:38Z,https://github.com/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted/awesome-selfhosted,awesome-selfhosted,290565,13401,,0,2015-06-01T02:33:17Z,2026-05-06T17:59:00Z,https://github.com/awesome-selfhosted/awesome-selfhosted
996.ICU,996icu/996.ICU,996icu,276142,20887,,16694,2019-03-26T07:31:14Z,2026-05-06T17:48:23Z,https://github.com/996icu/996.ICU
project-based-learning,practical-tutorials/project-based-learning,practical-tutorials,265012,34435,,297,2017-04-12T05:07:46Z,2026-05-06T17:56:04Z,https://github.com/practical-tutorials/project-based-learning
react,facebook/react,facebook,244834,51005,JavaScript,1279,2013-05-24T16:15:54Z,2026-05-06T17:55:58Z,https://github.com/facebook/react
linux,torvalds/linux,torvalds,232174,62102,C,3,2011-09-04T22:48:12Z,2026-05-06T17:55:42Z,https://github.com/torvalds/linux
Python,TheAlgorithms/Python,TheAlgorithms,220812,50548,Python,953,2016-07-16T09:44:01Z,2026-05-06T17:48:09Z,https://github.com/TheAlgorithms/Python
the-book-of-secret-knowledge,trimstray/the-book-of-secret-knowledge,trimstray,218981,13139,,138,2018-06-23T10:43:14Z,2026-05-06T17:48:24Z,https://github.com/trimstray/the-book-of-secret-knowledge
vue,vuejs/vue,vuejs,209757,33829,TypeScript,622,2013-07-29T03:24:51Z,2026-05-06T15:39:02Z,https://github.com/vuejs/vue
